time_id,time,week,hour,weekDays,number
10379,2020/12/25 4:46,4,4,1,0
10380,2020/12/25 4:51,4,4,1,0
10381,2020/12/25 4:56,4,4,1,0
10382,2020/12/25 5:02,4,5,1,0
10383,2020/12/25 5:07,4,5,1,0
10384,2020/12/25 5:12,4,5,1,0
10385,2020/12/25 5:17,4,5,1,0
10386,2020/12/25 5:22,4,5,1,0
10387,2020/12/25 5:27,4,5,1,0
10388,2020/12/25 5:32,4,5,1,0
10389,2020/12/25 5:37,4,5,1,0
10390,2020/12/25 5:42,4,5,1,0
10391,2020/12/25 5:47,4,5,1,0
10392,2020/12/25 5:53,4,5,1,0
10393,2020/12/25 5:58,4,5,1,0
10394,2020/12/25 6:03,4,6,1,0
10395,2020/12/25 6:08,4,6,1,0
10396,2020/12/25 6:13,4,6,1,0
10397,2020/12/25 6:18,4,6,1,0
10398,2020/12/25 6:23,4,6,1,0
10399,2020/12/25 6:28,4,6,1,0
10400,2020/12/25 6:33,4,6,1,0
10401,2020/12/25 6:38,4,6,1,0
10402,2020/12/25 6:44,4,6,1,0
10403,2020/12/25 6:49,4,6,1,0
10404,2020/12/25 6:54,4,6,1,0
10405,2020/12/25 6:59,4,6,1,0
10406,2020/12/25 7:04,4,7,1,0
10407,2020/12/25 7:09,4,7,1,0
10408,2020/12/25 7:14,4,7,1,0
10409,2020/12/25 7:19,4,7,1,0
10410,2020/12/25 7:24,4,7,1,0
10411,2020/12/25 7:29,4,7,1,0
10412,2020/12/25 7:35,4,7,1,0
10413,2020/12/25 7:40,4,7,1,0
10414,2020/12/25 7:45,4,7,1,0
10415,2020/12/25 7:50,4,7,1,0
10416,2020/12/25 7:55,4,7,1,0
10417,2020/12/25 8:00,4,8,1,0
10418,2020/12/25 8:05,4,8,1,0
10419,2020/12/25 8:10,4,8,1,0
10420,2020/12/25 8:15,4,8,1,0
10421,2020/12/25 8:20,4,8,1,0
10422,2020/12/25 8:26,4,8,1,0
10423,2020/12/25 8:31,4,8,1,0
10424,2020/12/25 8:36,4,8,1,0
10425,2020/12/25 8:41,4,8,1,0
10426,2020/12/25 8:46,4,8,1,0
10427,2020/12/25 8:51,4,8,1,0
10428,2020/12/25 8:56,4,8,1,0
10429,2020/12/25 9:01,4,9,1,0
10430,2020/12/25 9:06,4,9,1,0
10431,2020/12/25 9:11,4,9,1,0
10432,2020/12/25 9:17,4,9,1,0
10433,2020/12/25 9:22,4,9,1,0
10434,2020/12/25 9:27,4,9,1,0
10435,2020/12/25 9:32,4,9,1,0
10436,2020/12/25 9:37,4,9,1,0
10437,2020/12/25 9:42,4,9,1,0
10438,2020/12/25 9:47,4,9,1,0
10439,2020/12/25 9:52,4,9,1,0
10440,2020/12/25 9:57,4,9,1,0
10441,2020/12/25 10:02,4,10,1,0
10442,2020/12/25 10:08,4,10,1,0
10443,2020/12/25 10:13,4,10,1,0
10444,2020/12/25 10:18,4,10,1,0
