time_id,station_no,avalible_spaces,empty_spaces,forbidden_spaces,diff
81,501203052,15,12,0,0.0
81,501218005,4,24,0,0.0
81,501202037,8,8,0,0.0
81,501202039,11,15,0,0.0
81,501209035,10,18,0,0.0
81,501204007,8,13,0,0.0
81,501202038,22,6,0,-1.0
81,501204010,8,15,0,0.0
81,501202053,11,4,0,0.0
81,501202036,9,20,0,-1.0
81,501209032,1,27,0,0.0
81,501208031,20,8,0,0.0
81,501208057,5,22,0,1.0
81,501206068,14,1,0,0.0
81,501205026,8,11,0,1.0
81,501201019,10,18,0,0.0
81,501201020,12,12,0,0.0
81,501201025,9,14,0,1.0
81,501208063,6,10,0,0.0
81,501208054,1,26,0,0.0
81,501208045,16,16,0,0.0
81,501207069,2,27,0,0.0
81,501207070,2,26,0,0.0
81,501218004,28,1,0,1.0
81,501217004,8,7,0,0.0
81,501227001,4,6,0,0.0
81,501209030,4,14,0,0.0
81,501207063,15,16,0,0.0
81,501207092,10,22,0,0.0
81,501219012,11,28,0,0.0
81,501207075,1,26,0,0.0
81,501208046,6,10,0,-1.0
81,501208048,8,8,0,-2.0
81,501210047,10,6,0,0.0
81,501208062,3,13,0,-1.0
81,501224001,6,9,0,0.0
81,501206046,5,9,0,0.0
81,501207065,0,27,0,0.0
81,501218010,0,30,0,0.0
81,501212026,14,8,0,0.0
81,501210042,17,10,0,0.0
81,501207090,6,8,0,0.0
81,501210048,8,5,0,0.0
81,501201024,17,7,0,0.0
81,501206061,10,6,0,0.0
81,501206060,8,7,0,0.0
81,501208053,12,7,0,0.0
81,501208030,6,12,0,-2.0
81,501208037,7,8,0,1.0
81,501203060,9,13,0,0.0
81,501203082,16,23,0,0.0
81,501209037,7,9,0,0.0
81,501207087,8,8,0,0.0
81,501206085,8,8,0,0.0
81,501207061,11,17,0,1.0
81,501208034,2,17,0,0.0
81,501207066,27,1,0,0.0
81,501208056,12,15,0,0.0
81,501209049,9,19,0,-1.0
81,501208040,3,7,0,0.0
81,501207079,5,11,0,0.0
81,501206086,4,6,0,0.0
81,501206082,10,5,0,0.0
81,501206042,3,12,0,0.0
81,501214006,9,5,0,0.0
81,501214016,8,6,0,0.0
81,501220008,5,13,0,0.0
81,501220009,7,6,0,0.0
81,501212025,7,8,0,-1.0
81,501208036,17,10,0,1.0
81,501220002,8,9,0,0.0
81,501215007,5,5,0,0.0
81,501215006,6,4,0,0.0
81,501203054,15,7,0,0.0
81,501210036,16,11,0,-1.0
81,501207067,26,28,0,0.0
81,501208039,15,7,0,0.0
81,501208058,6,10,0,-1.0
81,501210046,12,4,0,0.0
81,501208060,9,7,0,0.0
81,501209029,1,27,0,1.0
81,501206065,6,22,0,0.0
81,501203057,13,13,0,0.0
81,501207071,1,25,0,0.0
81,501204008,2,11,0,0.0
81,501202047,13,3,0,0.0
81,501223001,6,4,0,0.0
81,501202050,7,7,0,0.0
81,501203073,3,21,0,0.0
81,501205020,24,7,0,2.0
81,501207068,21,10,0,2.0
81,501202042,16,9,0,-1.0
81,501207072,0,15,0,0.0
81,501216014,6,8,0,0.0
81,501207093,10,2,0,0.0
81,501220003,7,4,0,0.0
81,501209043,7,8,0,0.0
81,501205019,11,17,0,0.0
81,501207064,0,29,0,0.0
81,501219014,10,7,0,0.0
81,501218011,0,15,0,0.0
81,501203065,5,11,0,0.0
81,501203066,6,10,0,0.0
81,501209022,2,8,0,0.0
81,501204009,8,7,0,0.0
81,501206058,9,16,0,0.0
81,501203083,1,9,0,-1.0
81,501210054,5,8,0,0.0
81,501210057,2,8,0,0.0
81,501210058,5,10,0,0.0
81,501209018,11,9,0,0.0
81,501209023,0,13,0,-2.0
81,501209026,1,8,0,1.0
81,501203079,0,13,0,-1.0
81,501210056,1,12,0,0.0
81,501210059,13,2,0,0.0
81,501210006,18,0,0,0.0
81,501210049,7,3,0,0.0
81,501210026,4,11,0,0.0
81,501220007,6,10,0,0.0
81,501220010,5,3,0,0.0
81,501210055,11,3,0,0.0
81,501202034,1,15,0,0.0
81,501216022,12,4,0,0.0
81,501216023,6,4,0,0.0
81,501202060,7,14,0,0.0
81,501202035,17,13,0,0.0
81,501210050,27,3,0,1.0
81,501210051,9,5,0,1.0
81,501210052,5,11,0,-1.0
81,501210053,8,6,0,-2.0
81,501206090,6,8,0,0.0
81,501210060,7,10,0,0.0
81,501210061,5,15,0,0.0
81,501212027,4,11,0,0.0
81,501207094,0,13,0,0.0
81,501207096,0,15,0,0.0
81,501207098,6,7,0,0.0
81,501218013,7,8,0,0.0
81,501206091,8,6,0,0.0
81,501224005,6,9,0,0.0
81,501210016,9,6,0,1.0
81,501207049,6,14,0,0.0
81,501208074,0,19,0,0.0
81,501207054,0,26,0,0.0
81,501209053,5,15,0,0.0
81,501202062,3,7,0,0.0
81,501202066,4,6,0,0.0
81,501206104,8,6,0,0.0
81,501206103,7,4,0,0.0
81,501208075,8,4,0,0.0
81,501208076,8,7,0,0.0
81,501202058,13,2,0,0.0
81,501209052,0,16,0,0.0
81,501208068,8,2,0,0.0
81,501208079,7,5,0,-5.0
81,501208077,1,9,0,0.0
81,501208078,15,4,0,0.0
81,501202065,2,13,0,0.0
81,501202068,0,18,0,0.0
81,501208069,7,3,0,0.0
81,501204013,7,8,0,0.0
81,501205027,4,6,0,0.0
81,501205030,1,9,0,0.0
81,501210030,8,8,0,0.0
81,501201026,3,12,0,-1.0
81,501205028,2,8,0,0.0
81,501205029,6,4,0,0.0
81,501203084,2,9,0,0.0
81,501203092,11,9,0,0.0
81,501202055,6,9,0,0.0
81,501206096,9,6,0,0.0
81,501207101,6,11,0,0.0
81,501207102,7,11,0,0.0
81,501207095,2,8,0,0.0
81,501206099,10,9,0,0.0
81,501209055,8,6,0,0.0
81,501202057,8,27,0,0.0
